Site,Pad_Region,Pad_Colour,Pad_ID,Sampling_Date,Barnacle_Species_Number,Barnacle_Species_List,Grazing_Species_Number,Grazing_Species_List,Algae_Species_Number,Algae_Species_List,Total_Species_Richness,Nitrate,Phosphorous,Salinity,Mean_Logger_Temp,Max_Logger_Temp,Phytoplankton,Precipitation,Temperature,Wind_Speed,Day_length,Solar_Insolation,Barnacle_Count,Gastropod_Count_ON,Gastropod_Count_SIDE,Algae_Cover,Green_Algae,Cyanobacteria,Diatoms,AVG_Banacle_Size,SD_Barnacle_Size
Friars Bay,P,W,12,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,19.84,31.2,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,342,0,0,,0,0.18,0.19,2.79565,0.633431179
Friars Bay,P,B,13,01/08/2023,1,Semibalanus balanoides,,,,,,70.98,0.074,NA,19.94,32.8,2.327202,3.20306667,16.76,25.66,15.39.35,160.86,284,0,0,,0,0.4,0.03,2.9397,0.689556669
Bastion Steps,N,W,11,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.68,31.6,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,62,0,0,,0,0.08,0.12,2.9125,0.292046705
Bastion Steps,N,B,22,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,NA,NA,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,25,0,0,,0,0.05,0.13,2.77155,0.74349417
Bastion Steps,N,W,3,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.66,31.6,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,29,0,0,,0,0.04,0.08,3.17535,0.544493957
Bastion Steps,N,B,15,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.54,31.6,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,9,0,0,,0,0.05,0.08,3.020375,0.621492774
Bastion Steps,N,W,8,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.63,31.6,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,45,0,0,,0,0.03,0.19,3.41385,0.469036308
Bastion Steps,N,B,16,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,NA,NA,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,18,0,0,,0,0.03,0.06,3.0797,0.587864365
Bastion Steps,N,W,1,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.48,31.5,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,63,0,1,,0,0.07,0.21,3.23745,0.452802965
Bastion Steps,N,B,14,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,NA,NA,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,26,0,0,,0,0.02,0,2.98185,0.512954192
Bastion Steps,N,W,9,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.5,31.3,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,39,0,0,,0,0.03,0.08,3.39865,0.388590905
Bastion Steps,N,B,23,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.72,32,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,27,0,0,,0,0.04,0.09,3.09635,0.500492538
Bastion Steps,N,W,4,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.8,31.5,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,19,0,1,,0,0.02,0.1,2.492571429,0.322077945
Bastion Steps,N,B,18,01/08/2023,1,Semibalanus balanoides,,,,,,39.88,0.006,NA,20.84,32.7,2.520435,3.20306667,16.76,25.66,15.39.35,160.86,5,0,0,,0,0.02,0.04,2.2856,1.003554458
Friars Bay,P,W,10,17/08/2023,1,Semibalanus balanoides,1,Patella vulgaris,,,,70.56,0.086,NA,19.56,35.4,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,289,1,0,,0,0.2,0.16,3.19855,0.538348527
Friars Bay,P,B,21,17/08/2023,1,Semibalanus balanoides,0,,,,,70.56,0.086,NA,19.78,36.7,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,140,0,0,,0,0.15,0.06,2.8297,0.749643997
Friars Bay,P,W,7,17/08/2023,1,Semibalanus balanoides,2,"Littorina litorea, NO ID",,,,70.56,0.086,NA,19.2,35,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,322,0,2,,0,0.5,0.33,3.35945,0.442497549
Friars Bay,P,B,20,17/08/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,70.56,0.086,NA,19.45,36.6,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,195,0,1,,0,0.24,0.15,3.25675,0.750069043
Friars Bay,P,W,5,17/08/2023,1,Semibalanus balanoides,1,Patella vulgaris,,,,70.56,0.086,NA,19.43,33.9,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,289,0,2,,0,0.14,0.1,2.89915,0.338912808
Friars Bay,P,B,17,17/08/2023,1,Semibalanus balanoides,2,"Patella vulgaris, Gibbula umbilicalis",,,,70.56,0.086,NA,19.22,35.3,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,190,0,3,,0,0.47,0.3,2.9178,0.909667742
Friars Bay,P,W,6,17/08/2023,1,Semibalanus balanoides,0,,,,,70.56,0.086,NA,19.26,33.9,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,341,0,0,,0,0.1,0.51,2.68995,0.487283254
Friars Bay,P,B,19,17/08/2023,1,Semibalanus balanoides,2,"Patella vulgaris, Calliostoma zizyphinum",,,,70.56,0.086,NA,19.46,34.6,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,237,0,2,,0,0.73,0.49,2.57795,0.511491254
Friars Bay,P,W,2,17/08/2023,1,Semibalanus balanoides,3,"Patella vulgaris, Osilinus lineatus, Gibbula umbilicalis",,,,70.56,0.086,NA,19.2,33.6,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,370,1,2,,0,0.7,0.47,2.75495,0.702932131
Friars Bay,P,B,24,17/08/2023,1,Semibalanus balanoides,2,"Calliostoma zizyphinum, Osilinus lineatus",,,,70.56,0.086,NA,NA,NA,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,241,1,1,,0,0.88,0.95,3.24875,0.740967995
Friars Bay,P,W,12,17/08/2023,1,Semibalanus balanoides,2,"Patella vulgaris, Gibbula umbilicalis",,,,70.56,0.086,NA,19.04,34.4,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,349,1,2,,0,0.6,0.44,2.80955,0.723902635
Friars Bay,P,B,13,17/08/2023,1,Semibalanus balanoides,1,Patella vulgaris,,,,70.56,0.086,NA,19.16,35,2.63337,0.8866,16.79,21.1733333,14.50.58,170.24,277,1,1,,0,0.47,0.23,2.9522,0.459684928
Bastion Steps,N,W,11,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.52,35.5,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,63,0,0,,0,0.07,0.16,3.2768,0.495562262
Bastion Steps,N,B,22,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,NA,NA,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,24,0,0,,0,0.04,0.18,3.0854,0.64038976
Bastion Steps,N,W,3,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.55,35.6,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,30,0,0,,0,0.04,0.17,3.20455,0.574100574
Bastion Steps,N,B,15,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.38,35.6,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,9,0,0,,0,0.04,0.14,3.0128125,0.726423132
Bastion Steps,N,W,8,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.6/,36.6,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,47,0,0,,0,0.04,0.17,3.38775,0.714140519
Bastion Steps,N,B,16,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,NA,NA,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,18,0,0,,0,0.09,0.26,3.0077,0.536530894
Bastion Steps,N,W,1,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.33,35.6,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,63,0,0,,0,0.05,0.19,3.64245,0.449568463
Bastion Steps,N,B,14,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,NA,NA,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,22,0,0,,0,0.06,0.24,3.04515,0.409107772
Bastion Steps,N,W,9,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.22,34.9,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,40,0,0,,0,0.1,0.34,3.3912,0.58284042
Bastion Steps,N,B,23,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.39,35.8,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,23,0,0,,0,0.11,0.43,3.19725,0.400772743
Bastion Steps,N,W,4,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.77,35,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,21,0,1,,0,0,0,2.5582,0.260910569
Bastion Steps,N,B,18,17/08/2023,1,Semibalanus balanoides,0,,,,,38.52,0.01,NA,20.69,34.5,2.6805,0.8866,16.79,21.1733333,14.50.58,170.24,5,0,0,,0,0.03,0.11,2.31525,0.96766958
Friars Bay,P,W,10,01/09/2023,1,Semibalanus balanoides,0,,,,,69.32,0.044,NA,20.55,34.9,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,286,0,0,,0,0.54,0.53,3.004,0.773184504
Friars Bay,P,B,21,01/09/2023,1,Semibalanus balanoides,2,"Osilinus lineatus, Gibbula umbilicalis",,,,69.32,0.044,NA,20.59,34.8,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,139,1,2,,0,0.38,0.37,2.9594,0.921835
Friars Bay,P,W,7,01/09/2023,1,Semibalanus balanoides,1,Gibbula umbilicalis,,,,69.32,0.044,NA,20.32,33.7,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,320,0,1,,0,1.35,1.08,2.8798,0.688223284
Friars Bay,P,B,20,01/09/2023,1,Semibalanus balanoides,2,"Osilinus lineatus, Gibbula umbilicalis",,,,69.32,0.044,NA,20.39,35.5,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,191,1,3,,0,0.38,0.36,2.81745,0.686483449
Friars Bay,P,W,5,01/09/2023,1,Semibalanus balanoides,2,"Patella vulgata, NO ID",,,,69.32,0.044,NA,20.45,34,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,285,0,3,,0,0.45,0.43,2.76435,0.732581662
Friars Bay,P,B,17,01/09/2023,1,Semibalanus balanoides,1,Littorina neritoides,,,,69.32,0.044,NA,20.26,34.8,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,194,2,0,,0,0.87,0.74,3.0085,0.756374246
Friars Bay,P,W,6,01/09/2023,1,Semibalanus balanoides,0,,,,,69.32,0.044,NA,20.2,34.6,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,341,0,0,,0,0.67,0.8,2.4606,0.88331817
Friars Bay,P,B,19,01/09/2023,1,Semibalanus balanoides,2,"Patella vulgata, Gibbula umbilicalis",,,,69.32,0.044,NA,20.44,35,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,241,0,2,,0,0.81,0.67,3.0566,0.648265412
Friars Bay,P,W,2,01/09/2023,1,Semibalanus balanoides,0,,,,,69.32,0.044,NA,20.37,33.2,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,375,0,0,,0,0.44,1.1,2.7337,0.861758931
Friars Bay,P,B,24,01/09/2023,1,Semibalanus balanoides,2,"Gibbula umbilicalis, NO ID",,,,69.32,0.044,NA,NA,NA,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,242,0,2,,0,0.9,0.87,2.9278,0.63833591
Friars Bay,P,W,12,01/09/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,69.32,0.044,NA,20.22,33.6,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,347,1,0,,0,0.7,1.03,2.8333,0.497931845
Friars Bay,P,B,13,01/09/2023,1,Semibalanus balanoides,2,"Patella vulgata, Osilinus lineatus",,,,69.32,0.044,NA,20.35,34.6,4.914802,2.37826667,16.91,18.6266667,13.58.32,169.693333,281,0,2,,0,1.48,1,2.76945,0.83380275
Bastion Steps,N,W,11,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,21.09,35.4,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,61,0,0,,0,0.11,0.13,3.36625,0.569805778
Bastion Steps,N,B,22,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,NA,NA,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,24,0,0,,0,0.04,0.09,2.93555,0.502179055
Bastion Steps,N,W,3,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,21.05,34.5,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,28,0,0,,0,0.05,0.12,3.28765,0.402816546
Bastion Steps,N,B,15,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,20.98,34.6,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,10,0,1,,0,0.04,0.08,2.877777778,0.841178233
Bastion Steps,N,W,8,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,21.06,34.9,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,47,0,0,,0,0.07,0.15,3.3247,0.55020164
Bastion Steps,N,B,16,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,NA,NA,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,17,0,0,,0,0.03,0.06,2.9705,0.791787359
Bastion Steps,N,W,1,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,20.8,33.7,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,66,0,0,,0,0.13,0.2,3.30015,0.727042756
Bastion Steps,N,B,14,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,NA,NA,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,21,0,0,,0,0.02,0.07,3.22615,0.497327248
Bastion Steps,N,W,9,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,20.91,33.8,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,38,0,0,,0,0.02,0.07,3.24325,0.561370607
Bastion Steps,N,B,23,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,21.05,34.3,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,24,0,0,,0,0.06,0.13,3.09905,0.677168264
Bastion Steps,N,W,4,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,21.23,33.2,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,22,0,2,,0,0.05,0.13,2.2465,0.684542548
Bastion Steps,N,B,18,01/09/2023,1,Semibalanus balanoides,0,,,,,37.4,0,NA,21.19,32.8,4.95702,2.37826667,16.91,18.6266667,13.58.32,169.693333,4,0,0,,0,0.03,0.11,2.2825,0.790565462
Friars Bay,P,W,10,15/09/2023,1,Semibalanus balanoides,2,"Patella vulgata, Gibbula umbilicalis",,,,76.9,0.058,NA,20.68,34.9,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,289,0,5,,0,0.55,0.42,3.2709,0.761336902
Friars Bay,P,B,21,15/09/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,76.9,0.058,NA,20.7,34.8,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,139,0,1,,0,0.14,0.14,3.15905,0.595238209
Friars Bay,P,W,7,15/09/2023,1,Semibalanus balanoides,1,Littorina neritoides,,,,76.9,0.058,NA,20.48,33.7,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,317,1,0,,0,0.85,0.42,3.05605,0.57463319
Friars Bay,P,B,20,15/09/2023,1,Semibalanus balanoides,2,"Patella vulgata, Littorena littorea",,,,76.9,0.058,NA,20.53,35.5,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,191,0,2,,0,0.37,0.22,3.4427,0.6252839
Friars Bay,P,W,5,15/09/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,76.9,0.058,NA,20.58,34,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,293,2,9,,0,0.57,0.32,3.1975,0.708355804
Friars Bay,P,B,17,15/09/2023,1,Semibalanus balanoides,2,"Patella vulgata, Osilinus lineatus",,,,76.9,0.058,NA,20.39,34.8,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,195,2,2,,0,0.59,0.43,2.99605,0.698284941
Friars Bay,P,W,6,15/09/2023,1,Semibalanus balanoides,2,"Patella vulgata, Osilinus lineatus",,,,76.9,0.058,NA,20.39,34.6,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,344,0,4,,0,0.53,0.42,3.18235,0.433313464
Friars Bay,P,B,19,15/09/2023,1,Semibalanus balanoides,1,Patella vulgata,,,,76.9,0.058,NA,20.53,35,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,241,0,1,,0,0.66,0.42,3.14625,0.543092035
Friars Bay,P,W,2,15/09/2023,1,Semibalanus balanoides,3,"Patella vulgata, Littorina neritoides, Littorina saxatilis",,,,76.9,0.058,NA,20.5,33.2,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,384,1,2,,0,0.61,0.45,3.1383,0.793831678
Friars Bay,P,B,24,15/09/2023,1,Semibalanus balanoides,3,"Patella vulgata, Gibbula umbilicalis, Littorina saxtilis",,,,76.9,0.058,NA,NA,NA,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,243,1,4,,0,0.61,0.45,2.8554,0.639313686
Friars Bay,P,W,12,15/09/2023,1,Semibalanus balanoides,3,"Patella vulgata, Gibbula umbilicalis, Littorina saxtilis",,,,76.9,0.058,NA,20.35,33.6,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,344,1,4,,0.02,0.5,0.37,3.04805,0.636786876
Friars Bay,P,B,13,15/09/2023,1,Semibalanus balanoides,3,"Patella vulgata, Gibbula umbilicalis, Littorina neritoides",,,,76.9,0.058,NA,20.46,34.6,9.06952,0.278,19.32,13.8666667,13.06.39,163.326667,281,1,6,,0,0.77,0.31,2.9754,0.559305909
Bastion Steps,N,W,11,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,21.24,35.4,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,59,0,0,,0.01,0.13,0.15,3.43555,0.561841934
Bastion Steps,N,B,22,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,NA,NA,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,24,0,0,,0,0.1,0.11,3.17,0.683114315
Bastion Steps,N,W,3,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,21.21,34.5,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,29,0,1,,0,0.11,0.08,3.40325,0.522880019
Bastion Steps,N,B,15,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,21.16,34.6,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,10,0,0,,0,0.09,0.13,3.256428571,0.92547026
Bastion Steps,N,W,8,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,21.23,34.9,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,49,0,0,,0,0.12,0.12,3.594,0.520730523
Bastion Steps,N,B,16,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,NA,NA,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,17,0,0,,0.01,0.07,0.1,3.0955,0.844203878
Bastion Steps,N,W,1,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,20.96,33.7,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,69,0,0,,0,0.16,0.12,3.8025,0.492613946
Bastion Steps,N,B,14,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,NA,NA,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,22,0,0,,0,0.08,0.11,3.06505,0.784319466
Bastion Steps,N,W,9,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,21.07,33.8,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,40,0,0,,0,0.11,0.12,3.7845,0.51055645
Bastion Steps,N,B,23,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,21.22,34.3,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,24,0,0,,0,0.11,0.07,3.5244,0.411170876
Bastion Steps,N,W,4,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,21.36,33.2,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,23,0,1,,0,0.03,0.07,2.033571429,0.7479339
Bastion Steps,N,B,18,15/09/2023,1,Semibalanus balanoides,0,,,,,39.54,0.004,NA,21.32,32.8,11.01784,0.278,19.32,13.8666667,13.06.39,163.326667,4,0,0,,0,0.04,0.06,2.5165,1.156547016
